db,t,n,events,auroc,lo,hi,anchor_24h
eicu,39,1725,248,0.5612,0.5256,0.5946,False
eicu,40,1686,253,0.5716,0.5394,0.6061,False
eicu,41,1644,250,0.5799,0.5461,0.6163,False
eicu,42,1602,245,0.5761,0.5403,0.6083,False
eicu,43,1554,247,0.5804,0.5403,0.6135,False
eicu,44,1511,246,0.5804,0.5469,0.6147,False
eicu,45,1469,240,0.5781,0.5418,0.6142,False
eicu,46,1430,234,0.5749,0.5406,0.6138,False
eicu,47,1396,226,0.5631,0.5233,0.6007,False
eicu,48,1355,229,0.5658,0.5277,0.6048,False
eicu,49,1330,228,0.571,0.5377,0.6083,False
eicu,50,1308,230,0.563,0.5254,0.595,False
eicu,51,1284,224,0.5552,0.5181,0.5917,False
eicu,52,1266,221,0.5517,0.5083,0.5906,False
eicu,53,1246,223,0.5461,0.5111,0.5844,False
eicu,54,1230,213,0.5555,0.5176,0.5929,False
eicu,55,1212,216,0.5513,0.5126,0.5868,False
eicu,56,1197,218,0.5598,0.5197,0.6006,False
eicu,57,1185,216,0.5729,0.5334,0.6147,False
eicu,58,1173,208,0.5613,0.5227,0.5985,False
eicu,59,1156,210,0.5594,0.5201,0.5992,False
eicu,60,1138,205,0.564,0.5266,0.6067,False
eicu,61,1117,201,0.5527,0.5084,0.594,False
eicu,62,1098,192,0.5361,0.4951,0.582,False
eicu,63,1074,182,0.5317,0.4902,0.5803,False
eicu,64,1046,172,0.5317,0.4864,0.5705,False
eicu,65,1029,177,0.5383,0.4893,0.5836,False
eicu,66,1007,177,0.5404,0.4987,0.5857,False
eicu,67,989,178,0.5439,0.4963,0.5871,False
eicu,68,974,178,0.5539,0.5075,0.6023,False
eicu,69,960,163,0.5535,0.5105,0.5954,False
eicu,70,943,162,0.5462,0.5021,0.5892,False
eicu,71,923,159,0.5567,0.5105,0.6003,False
eicu,72,900,155,0.555,0.5047,0.6035,False
mimic3,6,677,189,0.4987,0.4506,0.5437,False
mimic3,7,687,199,0.5045,0.4605,0.5495,False
mimic3,8,686,197,0.5239,0.4796,0.5636,False
mimic3,9,684,203,0.5322,0.4912,0.5741,False
mimic3,10,679,193,0.5481,0.5094,0.5907,False
mimic3,11,673,190,0.5551,0.5044,0.6036,False
mimic3,12,669,185,0.5745,0.5297,0.6161,False
mimic3,13,666,181,0.5736,0.533,0.6184,False
mimic3,14,653,174,0.5755,0.5273,0.6171,False
