db,t,n,events,auroc,lo,hi,anchor_24h
eicu,39,2738,343,0.8552,0.832,0.8739,False
eicu,40,2683,338,0.8541,0.8313,0.8746,False
eicu,41,2621,330,0.8527,0.8305,0.8722,False
eicu,42,2564,326,0.8495,0.8258,0.8712,False
eicu,43,2500,316,0.8483,0.8262,0.8714,False
eicu,44,2436,310,0.847,0.8252,0.8689,False
eicu,45,2386,304,0.8417,0.8168,0.8643,False
eicu,46,2342,300,0.8409,0.8183,0.8686,False
eicu,47,2296,293,0.8409,0.8183,0.8656,False
eicu,48,2248,290,0.8438,0.819,0.8683,False
eicu,49,2211,289,0.8452,0.8187,0.8668,False
eicu,50,2177,286,0.8433,0.8185,0.8654,False
eicu,51,2142,283,0.8431,0.8155,0.8659,False
eicu,52,2110,280,0.8419,0.8155,0.8646,False
eicu,53,2090,277,0.8416,0.8191,0.8646,False
eicu,54,2069,275,0.8393,0.8142,0.8613,False
eicu,55,2053,271,0.8396,0.8145,0.8638,False
eicu,56,2040,265,0.8362,0.8089,0.857,False
eicu,57,2025,265,0.8383,0.8096,0.8633,False
eicu,58,2011,263,0.838,0.8137,0.8634,False
eicu,59,1992,261,0.8371,0.8089,0.8633,False
eicu,60,1977,260,0.8349,0.8068,0.8619,False
eicu,61,1946,255,0.836,0.8099,0.8638,False
eicu,62,1917,251,0.8339,0.8082,0.8605,False
eicu,63,1894,250,0.8356,0.8082,0.8612,False
eicu,64,1859,244,0.8317,0.8062,0.8559,False
eicu,65,1832,243,0.8298,0.8035,0.8563,False
eicu,66,1810,240,0.8305,0.8048,0.8565,False
eicu,67,1774,237,0.8244,0.796,0.8504,False
eicu,68,1748,233,0.8251,0.7988,0.8545,False
eicu,69,1715,231,0.8216,0.7949,0.8498,False
eicu,70,1684,229,0.8216,0.79,0.8506,False
eicu,71,1658,229,0.8211,0.7912,0.8486,False
eicu,72,1627,226,0.8196,0.7877,0.8464,False
mimic3,6,813,152,0.864,0.8329,0.8924,False
mimic3,7,818,154,0.8634,0.8357,0.8912,False
mimic3,8,822,155,0.8711,0.8429,0.8989,False
mimic3,9,826,155,0.874,0.8434,0.8979,False
mimic3,10,828,155,0.8689,0.8403,0.8963,False
mimic3,11,828,155,0.8681,0.8395,0.897,False
mimic3,12,829,155,0.864,0.8373,0.8925,False
mimic3,13,829,155,0.8653,0.835,0.8934,False
mimic3,14,829,155,0.8707,0.8404,0.8991,False
mimic3,15,829,155,0.8702,0.8424,0.8966,False
mimic3,16,829,155,0.8697,0.8354,0.8975,False
mimic3,17,830,155,0.8756,0.8438,0.9048,False
mimic3,18,830,155,0.8763,0.8477,0.9049,False
mimic3,19,830,155,0.879,0.8525,0.9052,False
mimic3,20,830,155,0.8818,0.8526,0.9099,False
mimic3,21,830,155,0.8836,0.8514,0.9104,False
mimic3,22,830,155,0.8839,0.8563,0.9158,False
mimic3,23,830,155,0.8838,0.8557,0.911,False
mimic3,24,813,138,0.8703,0.8404,0.8984,True
mimic3,25,791,137,0.8738,0.8435,0.9023,False
mimic3,26,773,136,0.8745,0.844,0.9049,False
mimic3,27,756,134,0.8778,0.8472,0.907,False
mimic3,28,741,134,0.8744,0.8426,0.9051,False
mimic3,29,725,133,0.8757,0.8454,0.9029,False
mimic3,30,714,132,0.8768,0.8474,0.9084,False
mimic3,31,705,132,0.8762,0.8454,0.9054,False
mimic3,32,697,131,0.8792,0.8437,0.9079,False
mimic3,33,684,129,0.8824,0.8503,0.9107,False
mimic3,34,676,128,0.8806,0.8467,0.9101,False
mimic3,35,670,127,0.8792,0.8483,0.91,False
mimic3,36,660,126,0.8801,0.8441,0.9098,False
mimic3,37,651,125,0.8808,0.8459,0.9124,False
mimic3,38,637,125,0.8799,0.8446,0.9117,False
mimic3,39,622,125,0.8766,0.845,0.9065,False
mimic3,40,615,124,0.871,0.8337,0.9039,False
mimic3,41,599,122,0.874,0.8394,0.9052,False
mimic3,42,588,122,0.8723,0.835,0.9026,False
mimic3,43,571,121,0.8713,0.832,0.9047,False
mimic3,44,558,121,0.8665,0.8323,0.9006,False
mimic3,45,548,119,0.8664,0.8314,0.8959,False
mimic3,46,537,118,0.8634,0.8249,0.8961,False
mimic3,47,530,118,0.8615,0.8234,0.8964,False
mimic3,48,515,107,0.8539,0.8103,0.8937,False
mimic3,49,505,106,0.8547,0.8152,0.8901,False
mimic3,50,495,103,0.8638,0.8268,0.8998,False
mimic3,51,486,103,0.8604,0.8233,0.8966,False
mimic3,52,482,103,0.8645,0.824,0.8999,False
mimic3,53,477,102,0.8654,0.8269,0.8994,False
mimic3,54,475,102,0.8625,0.8214,0.9003,False
mimic3,55,470,102,0.8655,0.8284,0.9033,False
mimic3,56,466,101,0.8661,0.8269,0.9035,False
mimic3,57,459,100,0.8629,0.8189,0.9056,False
mimic3,58,451,99,0.8603,0.8201,0.8969,False
mimic3,59,448,98,0.8664,0.8295,0.9072,False
mimic3,60,446,97,0.8702,0.8318,0.9044,False
mimic3,61,442,96,0.8694,0.8304,0.9053,False
mimic3,62,435,95,0.866,0.8231,0.9018,False
mimic3,63,431,95,0.8714,0.8288,0.9057,False
mimic3,64,429,95,0.87,0.8292,0.9106,False
mimic3,65,419,92,0.8717,0.827,0.9035,False
mimic3,66,410,89,0.8708,0.832,0.9031,False
mimic3,67,405,89,0.8737,0.8355,0.9078,False
mimic3,68,402,89,0.8684,0.8276,0.9063,False
mimic3,69,394,87,0.8638,0.824,0.898,False
mimic3,70,386,87,0.8657,0.8257,0.9022,False
mimic3,71,385,87,0.8662,0.8258,0.9079,False
mimic3,72,373,82,0.8654,0.8201,0.9018,False
